TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,CustomerAge_bin,TransactionAmount_bin,Target
14.09,1,36,0,70.0,0,81.0,1.0,5112.21,2,0,3
376.24,1,15,0,68.0,0,141.0,1.0,13758.91,2,0,2
126.29,1,23,2,19.0,3,56.0,1.0,1122.35,1,0,0
184.5,1,33,2,26.0,3,25.000000000000004,1.0,8569.06,1,0,0
92.15,1,28,0,18.0,3,172.0,1.0,781.68,3,0,0
7.08,0,39,0,37.0,0,139.0,1.0,13316.71,0,0,3
171.42,0,16,1,67.0,2,291.0,1.0,2796.24,2,0,2
106.23,0,11,1,51.0,1,86.0,1.0,9095.14,0,0,1
815.96,1,26,0,55.0,0,120.0,1.0,1021.8800000000001,0,1,0
17.78,0,0,2,52.0,1,59.00000000000001,1.0,7599.5199999999995,0,0,1
190.02,1,22,2,21.0,3,173.0,1.0,1528.81,1,0,2
494.52,0,23,1,24.0,3,111.0,1.0,1620.02,1,0,0
781.76,1,22,0,26.0,3,123.0,1.0,189.69,1,1,2
166.99,1,21,2,18.0,3,134.0,1.0,299.93,3,0,2
465.45,1,10,0,36.0,1,129.0,1.0,3465.54,1,0,1
555.8,0,2,1,19.0,3,158.0,1.0,1131.26,1,0,1
492.93,1,8,2,39.0,1,234.0,1.0,5109.97,0,0,1
18.68,0,0,1,59.0,2,106.0,1.0,7948.369999999999,2,0,1
71.48,0,8,2,18.0,3,169.0,1.0,6568.59,3,0,1
59.32,1,20,1,71.0,2,37.99999999999999,1.0,5750.89,2,0,2
85.77,1,19,1,38.0,0,93.0,1.0,9146.19,0,0,2
52.2,1,1,2,39.0,1,120.0,1.0,8974.93,0,0,1
145.54,1,33,2,21.0,3,96.0,1.0,1930.96,1,0,0
7.49,0,15,2,65.0,2,276.0,1.0,3634.67,2,0,2
40.32,1,25,1,37.0,1,95.0,1.0,2686.52,0,0,0
127.45,1,19,2,44.0,0,197.0,1.0,1772.06,0,0,2
56.17,1,11,1,27.0,3,283.0,1.0,1351.69,1,0,1
28.31,0,24,2,59.0,0,20.0,1.0,8334.47,2,0,0
59.12,1,3,0,29.0,0,257.0,1.0,9823.64,1,0,1
877.81,1,20,2,22.0,3,150.0,1.0,399.0,1,1,2
255.26,0,37,1,45.0,0,50.00000000000001,1.0,14815.87,0,0,3
124.76,1,39,1,49.0,1,45.0,1.0,5764.72,0,0,3
78.13,1,25,1,26.0,3,145.0,1.0,900.61,1,0,0
335.63,1,28,2,55.0,2,215.99999999999997,1.0,1019.39,0,0,0
328.47,1,35,0,63.0,2,119.0,1.0,4323.66,2,0,3
34.02,1,30,2,38.0,0,18.999999999999996,1.0,14214.48,0,0,0
241.42000000000002,0,5,2,57.0,0,116.00000000000001,1.0,13357.02,2,0,1
55.32,1,40,0,19.0,3,117.0,1.0,241.79000000000002,1,0,3
304.31,1,21,1,27.0,3,33.0,1.0,868.61,1,0,2
435.27,1,6,1,74.0,2,90.0,1.0,4673.28,2,0,1
164.49,1,3,1,26.0,3,75.0,1.0,1509.27,1,0,1
510.23999999999995,1,28,2,19.0,3,105.0,1.0,781.7,1,0,0
626.9,1,10,2,26.0,3,138.0,1.0,265.51,1,1,1
22.01,0,34,2,41.0,1,175.0,1.0,1335.09,0,0,3
425.34,0,18,2,69.0,2,121.0,1.0,3907.5399999999995,2,0,2
424.56,1,29,2,51.0,1,264.0,1.0,5183.85,0,0,0
85.43,1,41,1,67.0,0,145.0,1.0,14904.9,2,0,3
169.5,1,36,1,28.0,3,142.0,1.0,918.8799999999999,1,0,3
104.63,1,29,0,62.0,2,90.0,1.0,4477.78,2,0,0
316.95,1,23,1,25.0,3,83.0,1.0,1324.03,1,0,0
60.540000000000006,0,8,1,57.0,2,52.00000000000001,1.0,3534.93,2,0,1
292.56,0,9,1,68.0,2,61.00000000000001,1.0,4638.37,2,0,1
386.52,1,16,1,48.0,1,28.0,1.0,5630.61,0,0,2
112.07,1,18,1,23.0,3,51.00000000000001,1.0,930.3,1,0,2
